preprocessedSmiles,Molecule ChEMBL ID,pChEMBL Value,activity_classification
CSC(=O)C[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CCC12,CHEMBL164993,7.38,active
N#Cc1ccc(C(c2ccc(C#N)cc2)n2ccnn2)cc1,CHEMBL224789,8.1,active
N#Cc1ccc(C2CC(n3ccnc3)c3ccc4ccccc4c3O2)cc1,CHEMBL1783178,7.11,active
C[C@]12CC[C@H]3[C@@H](CCC4C(=O)C(O)CC[C@@]43C)[C@@H]1CCC2=O,CHEMBL1630280,6.17,active
CC1=C2CC(=O)C=CC2(C)C2CCC3(C)C(=O)CCC3C2C1,CHEMBL8315,6.28,active
COc1cc(C=Cc2ccc(N)cc2)cc(OC)c1OC,CHEMBL87477,6.05,active
COc1ccc([C@](O)(c2cccnc2)c2cc3ccc(OC)cc3o2)cc1,CHEMBL3084324,6.8,active
COc1ccc(-c2c(SCc3ccncc3)oc3cc(O)ccc3c2=O)cc1,CHEMBL187068,6.66,active
COc1ccc(-c2oc3ccccc3c(=O)c2Cn2ccnc2)cc1,CHEMBL212473,7.1,active
O=c1c2ccccc2oc2c(Cn3ccnc3)ccc([N+](=O)[O-])c12,CHEMBL159073,7.4,active
C[C@]12CCC3C(CC[C@H]4C=CCC[C@]34C)C1CCC2=O,CHEMBL194641,6.65,active
N#Cc1ccc(-c2oc3ccccc3c(=O)c2Cn2ccnc2)cc1,CHEMBL209731,7.16,active
CC(C)(C#N)c1cc(Cn2cncn2)cc(-c2ccc(O)cc2)c1,CHEMBL605418,8.22,active
CCn1ccc2cccc(C(c3cccc(Cl)c3)n3ccnc3)c21,CHEMBL287967,6.77,active
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccc([N+](=O)[O-])cc1,CHEMBL223109,6.4,active
N#Cc1ccc(N(Cc2ccc(Br)c(O)c2)n2cnnc2)cc1,CHEMBL226947,9.3,active
N#Cc1ccc(N(Cc2ccc(Cl)c(OS(N)(=O)=O)c2)n2cnnc2)cc1,CHEMBL390077,9.04,active
COc1ccc(-n2c(Cn3ccnc3)cc3ccc(Cl)cc32)cc1,CHEMBL2336853,6.69,active
CCCCCCC1=C2CC(=O)C=CC2(C)C2CCC3(C)C(=O)CCC3C2C1,CHEMBL266350,7.12,active
O=c1c(-c2ccccc2)c(SCc2ccncc2)oc2cc(O)ccc12,CHEMBL184749,6.21,active
Clc1ccc(C(c2ccc3[nH]ccc3c2)n2ccnc2)cc1,CHEMBL204039,7.35,active
Cc1ccc2cc(Cn3ccnc3)n(-c3ccc(C#N)cc3)c2c1,CHEMBL2336865,7.57,active
N#Cc1ccc(N(Cc2ccc(F)c(O)c2)n2cnnc2)cc1,CHEMBL390079,9.22,active
N#Cc1ccc(N(Cc2ccc(O)cc2)n2cnnc2)cc1,CHEMBL388291,7.64,active
O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21,CHEMBL399910,6.05,active
